,0
spotify:artist:7whUoQAv5bVu2Cv4ZmgTyw,"Akeboshi,30"
spotify:artist:2gtVnbrVpID8VrotZPOg2a,"Tulsa,39"
spotify:artist:5aINmhPWfAHvZ5qaMdBezq,"Amatria,43"
spotify:artist:1TCxiJqttWjWeHXtO10Scu,"Piero Ciampi,29"
spotify:artist:6jIK3obS1fJqb3Vu74AYX3,"H 3 F,43"
spotify:artist:5KRLYv4JDKx5jvR2EOdw7a,"Foé,36"
spotify:artist:5O2FUMAWxdTikjoCBAXrNI,"Mademoiselle K.,39"
spotify:artist:5pJ0z6sODdkG2w8xTrxBQ8,"Keegan Allen,24"
spotify:artist:1RTAxeIlQqWBYZoJVHJJvQ,"1987,26"
spotify:artist:4e7wEeokf7skRInd805EVH,"Soledad Vélez,31"
spotify:artist:1rVuTedbha3vI078fGRtLg,"Ari Weiss,24"
spotify:artist:0FXJ7e5WRLaSMZvKhZDZx2,"Ghost like girlfriend,37"
spotify:artist:29fH5PeCRISS7SWEmIBbIP,"Upper West,20"
spotify:artist:6QpQ7WsYLIpTV3yRa0fJo1,"Cala Vento,40"
spotify:artist:115IWAVy4OTxhE0xdDef1c,"PASSEPIED,40"
spotify:artist:7w6Xdr6KK4A4g9OySnUOUN,"Gazebo Penguins,31"
spotify:artist:4Ay4SXrEtSvyImMWgFeFZ3,"Moving and Cut,47"
spotify:artist:6GohZXzecjptCNHAYHHiZE,"Moon Bounce,27"
spotify:artist:1bfWecjdxJOuN7f42oIH5S,"Bud Spencer Blues Explosion,26"
spotify:artist:41sabx66zc6MlHpqf5QoXn,"Sofia Franco,24"
spotify:artist:0CR0OfX747W6bUsIoRNdPg,"Paolo Benvegnù,29"
spotify:artist:5KvfVmM9oHCiIy88GOG58h,"Analogfish,30"
spotify:artist:5ki3eZdUMfToI1TpXCUu8K,"S-Preme,17"
spotify:artist:6L8qZVWC4sWuYRSDXMLpsc,"AB Syndrom,33"
spotify:artist:60jACvCiMkGWezYS8VZXQ4,"August Rosenbaum,21"
spotify:artist:3bEHj6WUeCJey0vLrffSQp,"Sr. Chinarro,35"
spotify:artist:4tt0r6mVh339M8jIakNl9K,"I Think You're Awesome,24"
spotify:artist:3PvNSturlrBV4aYdMJAyOH,"Sambassadeur,22"
spotify:artist:1BHYRsFqV0ON7RUFM9qF2Q,"Telex Telexs,43"
spotify:artist:2AhnqOVxwIWLm6fj6dWswl,"Hey Hey My My,33"
spotify:artist:2LTDsDjf02umXildBzlrKZ,"Betterov,34"
spotify:artist:3Zdqisea5g5Gu6jcB7VLcJ,"Popsicle,27"
spotify:artist:3neR2cHI90n6tbRKep1Z8F,"Bobo Rondelli,29"
spotify:artist:62BCr5YFr6zDWUObVF6jIf,"Franske Piger,19"
spotify:artist:1Z8YLeRzSedy0jT5D08pVU,"Marit Bergman,33"
spotify:artist:56PAFc5EkAWofBQfKUNpvb,"Assalti Frontali,29"
spotify:artist:5tylcLBdFfLtaA0AvpJTQB,"Sarah Solovay,16"
spotify:artist:0rNsySWLw0GRzrj2Kh6jBs,"Daniel Nunnelee,26"
spotify:artist:4vfoL8X1A8goEBHP00apgC,"The Covering Music,21"
spotify:artist:3cUj49yvNCOkOOdrnxbwBi,"sqweez animal,37"
spotify:artist:0dIs0hmcUaAQxhI2EJarJ0,"GLORIA,33"
spotify:artist:30fJxDFMqv33K97dUEoFeK,"Simian Ghost,17"
spotify:artist:3fy7EyjDaIZ3BNhNOv2jtQ,"temp.,36"
spotify:artist:4V7c0eZEtXXBFJLY6WpSmT,"jan and naomi,26"
spotify:artist:4c9EbrVVm6nlAgkZbtpoTg,"Ladylike Lily,18"
spotify:artist:71j2EC2cNElHoCWzvbyZJI,"Vonnegutt,16"
spotify:artist:1RosPf8wnTxnEuIvhf4p7C,"Lawrence Ward Music,22"
spotify:artist:2TGYUWaApvohm7cKC8o848,"INTET,20"
spotify:artist:2XI2CpdL1MtHXIt0rxa7mS,"Jean Seizure,34"
spotify:artist:2PIRpZUtTmB8NrUia24LS1,"La Crus,25"
spotify:artist:2c8nKkZAAzxMI0IXq3Hat7,"Gustaf Spetz,22"
spotify:artist:3IQCjY2UPznd1Wpj1Sfm5n,"Ian J,15"
spotify:artist:3Ri7j4vT0iYvMjMv5I3iqp,"Floridablanca,29"
spotify:artist:4bMcGRPiyduCYAGr4qsOET,"Amaro Ferreiro,30"
spotify:artist:6QUnooiFt7qW7GiCtcdqWg,"Hers,32"
spotify:artist:7vcbGZNblVBtse8uEu3o5Q,"Giardini di Mirò,19"
spotify:artist:1NXBLDrIjlYGTC1jjJUAtQ,"Standstill,34"
spotify:artist:155urP5FVZwZFUFAj39Gsz,"Steven Romero,16"
spotify:artist:54cPytpOfPSd00Jrwr3fgu,"A&J,17"
spotify:artist:5YTJVNTfb9qDXATTlzuR5S,"Clarissa Connelly,13"
spotify:artist:6dYcPetMNQCOUjyO0vTogs,"AnnaMelina,16"
spotify:artist:6fzyhpzVkWlrjCz9PbzVaC,"Mendetz,24"
spotify:artist:6uOV2nQ6q4uocIK9d7dBe2,"Leo Leoson,18"
spotify:artist:7CMd7ViWMS0KxVCZdN3iDN,"Skybox,17"
spotify:artist:0BykdcTFMgGvvyySXL7yGI,"The Stargazer Lilies,16"
spotify:artist:0FQgtZcaV4r0qN8jPWbxQV,"Aloha Orchestra,20"
spotify:artist:7lZhmQZeLcqHj7ZP4eB80t,"Steget,29"
spotify:artist:3I4pxD6ShB0V3yiyORZh1J,"Daniel Sid,23"
spotify:artist:26bFWtvUVQKf84PQ4hJX4d,"Ever Yearning,16"
spotify:artist:4jDt43nqRwLtTC3JATSf31,"Non voglio che Clara,23"
spotify:artist:0GLNkaDvRpNqcvEgUXPLDt,"Uochi Toki,20"
spotify:artist:0eCIiGQqpsgKoLUcN178Si,"Pinkunoizu,5"
spotify:artist:1TlyO0wkCV0PTziCyVsoHx,"Ian Late,14"
spotify:artist:21y4G2KMIWx0430is8z8HZ,"Adam Is A Girl,12"
spotify:artist:2J2leHXUtp1V85Wlp44kmn,"Claude Violante,16"
spotify:artist:2UKGuGLvM4j4qbxaGslLWT,"Cola Jet Set,27"
spotify:artist:40Khje17mVy2YMpjdcrRLQ,"Marshall Cecil,29"
spotify:artist:42ekOuDlM7IUz4v21RiRJA,"The Unfinished Sympathy,22"
spotify:artist:45zryg0k67HWvBWPwQnfPN,"Antiqcool,5"
spotify:artist:2AicULoqmRphOS6ZWJWfP4,"Kindan no Tasuketsu,18"
spotify:artist:2QVLQPB56pNUthaVjFOYjn,"Kid Bombardos,16"
spotify:artist:2Y5wZnLKaSXJLAtXMXMdst,"Dream Lake,12"
spotify:artist:2zkkk3pD8gy7NY6n2rMFpS,"Eggstone,17"
spotify:artist:37JjXqodfAnrT9oSr7Tsx6,"Catpeople,18"
spotify:artist:4nIdx0p0E8OSx8ZAphrgCe,"Guy Harrison,5"
spotify:artist:4o3FkdIzYihFvxfCUkyw4A,"Det Stora Monstret,24"
spotify:artist:5M3GR8TopYMpD6kGOFVuxd,"June & Lula,14"
spotify:artist:6EvGQTgV2JB7dBpfEy7FCW,"Ustmamò,18"
spotify:artist:6KA9u2vD7aADr3lKOrn2Df,"Philip Piller,27"
spotify:artist:6K6CXzybqmiOaTPISi2vXz,"Blue Boats,7"
spotify:artist:06tBD6k0iP0JIc2BHJicYx,"Schultz & Forever,20"
spotify:artist:0Bqd4X5KDNxZ4ztYPPq3Qy,"Eva Mon Amour,14"
spotify:artist:0UNoF9eTtg1tXYV3E0ZyVe,"来来来チーム,8"
spotify:artist:0fJPIVyFRbNbaDQo6z9djd,"Florian,10"
spotify:artist:12qGb5EgU4bIV2ISnwAIQq,"Massimo Zamboni,16"
spotify:artist:13V2ClxC3vOGnLpR99XAPX,"Dream Coterie,23"
spotify:artist:1k2XGusw4CcCDdbFfmBMnT,"1973,6"
spotify:artist:1pvXfAzVXH0OB4X8QyWj0E,"Juniper Moon,17"
spotify:artist:1u5S1GGrDjWBtv9oPcJw87,"The Rest,7"
spotify:artist:65eh0xb6XcODyhL6DGIu0e,"Lidia Damunt,18"
spotify:artist:54X2ia4bI8CUy4s8CXRyBJ,"His Clancyness,10"
spotify:artist:5k7XRZYZ72ZXrAZDizeh6H,"My Bee's Garden,4"
spotify:artist:61Fosp1aNRRK1e0JqbtZMW,"Corduroi,11"
spotify:artist:1qd7t9c1xyPiOoGfhsuBYl,"Devin Miles,9"
spotify:artist:1yVqLRlRVVJhIfS9aVium0,"Taffy,3"
spotify:artist:2DeTfArgKU67DgfTiSvYVe,"Waldo & Marsha,9"
spotify:artist:2VIw42JDmzjJjy03lx0nEW,"800 Cherries,7"
spotify:artist:2ncBhrvD34emDwq1uGd1L5,"Søren Juul,15"
spotify:artist:3ANrjMDS5SwP0G8Al5RLid,"Parken,23"
spotify:artist:1UX4v1Ogjs2sq26LzZk6dX,"Sparrows,5"
spotify:artist:1fWbiT9ESBMukpSvKr8YVU,"Almedal,8"
spotify:artist:1hPnocntW3PwV6fsiifdNr,"Søn,14"
spotify:artist:1hp3XqZ3HHULhBiCeMXDnH,"Paulina Palmgren,20"
spotify:artist:1iMVMds476cuexLdHbKivE,"Tsudio Studio,13"
spotify:artist:1l8xbWMtiYt7MGlFbROeBo,"Giuliano Dottori,10"
spotify:artist:1oke4ti1kKpwAx9GTbYbT9,"Drew Danburry,7"
spotify:artist:1qTOyH1u1IfmKKx8LzF8KW,"Yuppie Flu,8"
spotify:artist:1qlyhk1POBMOFpQ7LNANSO,"FUZETA,26"
spotify:artist:1sw9DgHRsbYNzA3b4pRwdv,"Sonny Shotz,3"
spotify:artist:5lttvWwruX8u5Vb5z8H1MO,"Swinging Popsicle,12"
spotify:artist:5swB6kQYHgAGntROun5OQR,"Tellavision,7"
spotify:artist:61uCmA6xLc4E7zuns8HyJK,"Lukpeach,16"
spotify:artist:67d6lwMd8Yy6dIsAfQUXsU,"Kaspar Kaae,12"
spotify:artist:68l62bs9lI5xemvHRzhgde,"Little Majorette,10"
spotify:artist:6EhSBsNJfsZiWYQUdjBkqB,"23'O,27"
spotify:artist:6eayoEH8C2XPwQNTfXQgW3,"L Kan,18"
spotify:artist:6ggxZsustPrQYf9UcNaI3E,"Something For Rockets,5"
spotify:artist:6gkyaMmIZty8dwMF7xuTb1,"Genial Au Japon,8"
spotify:artist:6hJoakJWJIDyWnYujjhhR6,"LUSS,20"
spotify:artist:7n919ge3SJqtvjyywkZwVe,"Paul Stewart,7"
spotify:artist:1FzE9PthcwrmwfFNs7LNag,"Settlefish,7"
spotify:artist:6ewtiMP0vXSjAqy1f6A86r,"I Saw You Yesterday,14"
spotify:artist:0Gtk7PEzUsrVHzGAqejlUe,"Dead Mellotron,4"
spotify:artist:1SxAZg8WlkyfuU46Lxqgjx,"Ghibli,4"
spotify:artist:1iXYnHfJlGXJYp6DimGQta,"Low Sea,5"
spotify:artist:2cCL6NSxKwSbMvROY3eKAv,"White Night Ghosts,5"
