,0
spotify:artist:046wtejcUX9rhlzw2nlveT,"The Soft Boys,33"
spotify:artist:3i0VvjFfLzfX8TgDhgNWfe,"Jonathan Johansson,49"
spotify:artist:7lmde7T1WJPFwv1eR6melP,"Superchunk,38"
spotify:artist:5w9i8Zk3faiWx2kC51AYWb,"The Peep Tempel,30"
spotify:artist:0sOGQm1G25WEPhek1WI9Fe,"Sent By Ravens,34"
spotify:artist:1UnfU05eCWxrY4vWarpeF0,"Los Espiritus,51"
spotify:artist:1tg5jMp8FFjVqjgoxuEbSR,"Diary Of Dreams,40"
spotify:artist:48oNDvKRqviSFzow0ZXHXa,"Chris Whitley,31"
spotify:artist:0xeyL5pfnTtx7LGpqLo4PG,"Jakuzi,45"
spotify:artist:21wuAm9OFJEeN7h3EozO0r,"Kisschasy,39"
spotify:artist:0FINyNBXqnTlRC4dvpSeSb,"Gyllene Tider,55"
spotify:artist:5MlHrCJ7ub9tJSG8Zd62R9,"My Dear Addiction,31"
spotify:artist:0Fj0cWPHOpexJCZRdSHioP,"Jawbox,31"
spotify:artist:0mrnxWCuoCp6q8iSoWEijn,"77 Bombay Street,41"
spotify:artist:0ov3NwkivwP03icKu8jQBy,"Dr Misio,34"
spotify:artist:1gpNGL4WHSegm0WXj2j1m0,"clammbon,42"
spotify:artist:7iW0o1suit8xY24m9M5L0u,"De Vet Du,51"
spotify:artist:7kDTCZA56nH6fCdEY0rBgh,"Yogee New Waves,44"
spotify:artist:0rAp8I6gq67AJEmzWEJ1ri,"Rachael Lampa,33"
spotify:artist:012ldd58H1N5UZLxjMzV29,"Izumi Makura,37"
spotify:artist:0qJxsH9kWhslWau4Ork4Zm,"Falling Up,37"
spotify:artist:1Ppujw75tt7kUv9gEdrFpz,"ABBY,30"
spotify:artist:6WwzrdpJKQcGbMpHJfSTWj,"The Rumour Said Fire,33"
spotify:artist:0K1BPXwAU1CTd8DNZohopA,"Caedmon's Call,37"
spotify:artist:3P6ePaE5unCm7vjccfcBAe,"Markus Krunegård,48"
spotify:artist:0Zk7We5BZoDR40himAI86D,"Swirlies,32"
spotify:artist:0RMOWaq3zw0fdgvaGRMcdA,"Scott Weiland,29"
spotify:artist:11xRVFTsfUOVt4vSVX865Q,"Björn Rosenström,53"
spotify:artist:3FFAyPQU5wAmHbmUfZlRna,"Salvador,47"
spotify:artist:2gdeHNW6iBQlzXMhrud0yU,"MIKESCHAIR,37"
spotify:artist:3g2slv6elrXxGnXqy7Q2ap,"Les Big Byrd,34"
spotify:artist:1hUu9kCZgPEnhpKQCB2Mts,"My Favorite Highway,28"
spotify:artist:0sKQUWhiNgW8KBnnM0O7FL,"Moto Boy,33"
spotify:artist:0FXxQ0TEYtebM8gGg0xdoC,"Number Girl,42"
spotify:artist:35kA48fjFobl8mvwr6wIJ0,"Downhere,32"
spotify:artist:2xKfgoob6ZQJL3U8pqt1Hb,"Rocket Science,20"
spotify:artist:4wc3ixM7PquP8TPkBK3bXJ,"Smudge,17"
spotify:artist:6dbnUOJT2eM76h8NZCm15n,"Farmer Boys,27"
spotify:artist:7dhwEAjdIOqkJZIhBinExD,"No Sleep for Lucy,23"
spotify:artist:1USc9u5yL4tUaQKhGWNuvj,"Redd Kross,28"
spotify:artist:0nES8AwBZpeQ69oZZp47OL,"KEYTALK,46"
spotify:artist:6Sh3owUrsFjZ4qCjtpPV7G,"Jennifer Rostock,51"
spotify:artist:38piJoxdpZ3cBdDpL2CQsh,"Plug In Stereo,31"
spotify:artist:3wuBmeZ1hzgar7Dnf3UzS0,"Bakkushan,36"
spotify:artist:6zqlA0w5k0Al6QJFyvRrHB,"Hard-Ons,24"
spotify:artist:1pS0vOJbmbbLjDb7N5FQSv,"More Amor,24"
spotify:artist:36kC7LfiVI6Nl158WRsGpR,"Grand Island,25"
spotify:artist:3M5nxyS3mmuFqHP2N4x5ZH,"Richard Clapton,42"
spotify:artist:5ydii9WwX1NPG6k5lrAb6m,"Ratcat,32"
spotify:artist:3AOgIGZM91iJjQqaHezAwD,"Nevertheless,25"
spotify:artist:5bdiN7Q7FdiDyQLWZJvLTW,"ABAY,30"
spotify:artist:5ii4bSDtkpahh72mJDqDqF,"plenty,32"
spotify:artist:0Sp0uhq5t9QkMXcxxEM1eQ,"My Passion,7"
spotify:artist:1vKXAkXBGSbjgGcOPYLI6j,"Årabrot,16"
spotify:artist:57swDg4BNcQS73YIJCchnf,"Todd Agnew,33"
